Title,Price,Rating,Category,Availability,Price_Cleaned,Rating_Num,In_Stock,Price_Category
The Elephant Tree,£23.82,Five,Thriller,In stock (18 available),23.82,5,True,Mid-range
The Bear and the Piano,£36.89,One,Childrens,In stock (18 available),36.89,1,True,Mid-range
Sophie's World,£15.94,Five,Philosophy,In stock (18 available),15.94,5,True,Budget
Penny Maybe,£33.29,Three,Default,In stock (18 available),33.29,3,True,Mid-range
Maude (1883-1993):She Grew Up with the country,£18.02,Two,Default,In stock (18 available),18.02,2,True,Budget
"In a Dark, Dark Wood",£19.63,One,Mystery,In stock (18 available),19.63,1,True,Budget
Behind Closed Doors,£52.22,Four,Thriller,In stock (18 available),52.22,4,True,Premium
You can't bury them all: Poems,£33.63,Two,Poetry,In stock (17 available),33.63,2,True,Mid-range
Slow States of Collapse: Poems,£57.31,Three,Poetry,In stock (17 available),57.31,3,True,Premium
Reasons to Stay Alive,£26.41,Two,Nonfiction,In stock (17 available),26.41,2,True,Mid-range
Private Paris (Private #10),£47.61,Five,Fiction,In stock (17 available),47.61,5,True,Premium
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,Five,Nonfiction,In stock (17 available),23.11,5,True,Mid-range
Without Borders (Wanderlove #1),£45.07,Two,New Adult,In stock (16 available),45.07,2,True,Premium
When We Collided,£31.77,One,Contemporary,In stock (16 available),31.77,1,True,Mid-range
"We Love You, Charlie Freeman",£50.27,Five,Fiction,In stock (16 available),50.27,5,True,Premium
Untitled Collection: Sabbath Poems 2014,£14.27,Four,Poetry,In stock (16 available),14.27,4,True,Budget
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,Four,Nonfiction,In stock (16 available),44.18,4,True,Premium
Unicorn Tracks,£18.78,Three,Fantasy,In stock (16 available),18.78,3,True,Budget
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,One,History,In stock (16 available),25.52,1,True,Mid-range
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,One,Sequential Art,In stock (16 available),16.28,1,True,Budget
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,Three,Nonfiction,In stock (16 available),31.12,3,True,Mid-range
This One Summer,£19.49,Four,Sequential Art,In stock (16 available),19.49,4,True,Budget
Thirst,£17.27,Five,Fiction,In stock (16 available),17.27,5,True,Budget
The Torch Is Passed: A Harding Family Story,£19.09,One,Add a comment,In stock (16 available),19.09,1,True,Budget
The Secret of Dreadwillow Carse,£56.13,One,Childrens,In stock (16 available),56.13,1,True,Premium
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,One,Food and Drink,In stock (16 available),56.41,1,True,Premium
The Past Never Ends,£56.50,Four,Mystery,In stock (16 available),56.5,4,True,Premium
The Natural History of Us (The Fine Art of Pretending #2),£45.22,Three,Young Adult,In stock (16 available),45.22,3,True,Premium
The Nameless City (The Nameless City #1),£38.16,Four,Sequential Art,In stock (16 available),38.16,4,True,Mid-range
The Murder That Never Was (Forensic Instincts #5),£54.11,Three,Fiction,In stock (16 available),54.11,3,True,Premium
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,Four,Science,In stock (16 available),42.96,4,True,Premium
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,Four,Add a comment,In stock (16 available),23.89,4,True,Mid-range
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,Three,Nonfiction,In stock (16 available),16.77,3,True,Budget
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,Five,Default,In stock (16 available),20.59,5,True,Mid-range
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,One,Nonfiction,In stock (16 available),37.13,1,True,Mid-range
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,One,Nonfiction,In stock (16 available),56.06,1,True,Premium
The Death of Humanity: and the Case for Life,£58.11,Four,Philosophy,In stock (16 available),58.11,4,True,Premium
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,Three,Health,In stock (16 available),49.05,3,True,Premium
The Art Forger,£40.76,Three,Add a comment,In stock (16 available),40.76,3,True,Premium
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,One,History,In stock (16 available),19.73,1,True,Budget
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,Five,Spirituality,In stock (16 available),32.24,5,True,Mid-range
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,Four,Nonfiction,In stock (16 available),41.83,4,True,Premium
Soul Reader,£39.58,Two,Default,In stock (16 available),39.58,2,True,Mid-range
Security,£39.25,Two,Horror,In stock (16 available),39.25,2,True,Mid-range
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,Three,Fantasy,In stock (16 available),25.02,3,True,Mid-range
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,Two,Sequential Art,In stock (16 available),51.04,2,True,Premium
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,Two,Nonfiction,In stock (16 available),19.83,2,True,Budget
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,Three,Sequential Art,In stock (16 available),50.4,3,True,Premium
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,Five,Sequential Art,In stock (16 available),13.61,5,True,Budget
Princess Between Worlds (Wide-Awake Princess #5),£13.34,Five,Fantasy,In stock (16 available),13.34,5,True,Budget
"Pop Gun War, Volume 1: Gift",£18.97,One,Sequential Art,In stock (16 available),18.97,1,True,Budget
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,Two,History,In stock (16 available),36.28,2,True,Mid-range
Patience,£10.16,Three,Sequential Art,In stock (16 available),10.16,3,True,Budget
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,Four,Sequential Art,In stock (16 available),15.44,4,True,Budget
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,One,Sequential Art,In stock (16 available),48.41,1,True,Premium
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,One,Self Help,In stock (16 available),46.35,1,True,Premium
On a Midnight Clear,£14.07,Three,Add a comment,In stock (16 available),14.07,3,True,Budget
Obsidian (Lux #1),£14.86,Two,Young Adult,In stock (16 available),14.86,2,True,Budget
My Paris Kitchen: Recipes and Stories,£33.37,Two,Food and Drink,In stock (16 available),33.37,2,True,Mid-range
Masks and Shadows,£56.40,Two,Fantasy,In stock (16 available),56.4,2,True,Premium
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,Four,Food and Drink,In stock (16 available),14.02,4,True,Budget
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,Two,Sequential Art,In stock (16 available),46.91,2,True,Premium
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,Three,Sequential Art,In stock (16 available),45.61,3,True,Premium
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,Two,Sequential Art,In stock (16 available),19.92,2,True,Budget
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,One,Food and Drink,In stock (16 available),40.11,1,True,Premium
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,Two,Add a comment,In stock (16 available),53.9,2,True,Premium
Join,£35.67,Five,Science Fiction,In stock (16 available),35.67,5,True,Mid-range
In the Country We Love: My Family Divided,£22.00,Four,Nonfiction,In stock (16 available),22.0,4,True,Mid-range
